crr_Nom;psu_Nem;psu_Leng;psu_Mate;psu_Cie;psu_Pond;Longitud;Latitud;cred_apr;distancia;F;M;PARTICULAR_SUBVENCIONADO;PARTICULAR_PAGADO;MUNICIPAL;cluster
INGENIERIA CIVIL EN TELECOMUNICACIONES;661;547;640;576;622;-73,0464155;-36,829532;9;0,913203;0;1;0;1;0;4
INGENIERIA CIVIL ELECTRICA;723;564;622;520;623;-73,0464155;-36,829532;8;0,913203;0;1;0;1;0;4
INGENIERIA CIVIL QUIMICA;752;606;713;724;720;-73,0464155;-36,829532;6;0,913203;0;1;0;1;0;1
INGENIERIA CIVIL BIOMEDICA;723;645;628;685;677;-73,0464155;-36,829532;6;0,913203;1;0;0;1;0;2
INGENIERIA CIVIL - PLAN COMUN;476;568;675;688;611;-73,0464155;-36,829532;3;0,913203;0;1;0;1;0;3
INGENIERIA CIVIL ELECTRONICA;764;571;652;583;658;-73,0464155;-36,829532;3;0,913203;0;1;0;1;0;3
INGENIERIA CIVIL METALURGICA;692;624;637;589;653;-73,0464155;-36,829532;0;0,913203;1;0;0;1;0;2
INGENIERIA CIVIL INDUSTRIAL;785;660;739;633;723;-73,0464155;-36,829532;0;0,913203;0;1;0;1;0;1
INGENIERIA CIVIL;723;661;699;655;693;-73,0464155;-36,829532;0;0,913203;0;1;0;1;0;2
INGENIERIA CIVIL QUIMICA;805;674;627;696;689;-73,0464155;-36,829532;0;0,913203;0;1;0;1;0;1
INGENIERIA CIVIL INDUSTRIAL;744;619;675;645;679;-73,0464155;-36,829532;0;0,913203;0;1;0;1;0;2
INGENIERIA CIVIL - PLAN COMUN;641;589;623;558;613;-73,0464155;-36,829532;0;0,913203;0;1;0;1;0;3
INGENIERIA CIVIL INDUSTRIAL;760;660;718;714;730;-73,0464155;-36,829532;0;0,913203;0;1;0;1;0;1
INGENIERIA CIVIL AEROESPACIAL;682;704;746;681;715;-73,0464155;-36,829532;0;0,913203;0;1;0;1;0;1
INGENIERIA CIVIL;740;639;625;681;681;-73,0464155;-36,829532;0;0,913203;0;1;0;1;0;2
INGENIERIA CIVIL MECANICA;678;598;704;630;670;-73,0464155;-36,829532;0;0,913203;1;0;0;1;0;2
INGENIERIA CIVIL EN TELECOMUNICACIONES;734;568;639;583;667;-73,0464155;-36,829532;0;0,913203;1;0;0;1;0;2
INGENIERIA CIVIL INFORMATICA;659;646;671;657;661;-73,0464155;-36,829532;0;0,913203;0;1;0;1;0;2
INGENIERIA CIVIL INFORMATICA;659;646;671;657;661;-73,0464155;-36,829532;0;0,913203;0;1;0;1;0;2
INGENIERIA CIVIL ELECTRONICA;643;582;668;656;644;-73,0464155;-36,829532;0;0,913203;0;1;0;1;0;3
INGENIERIA CIVIL INFORMATICA;641;582;668;656;643;-73,0464155;-36,829532;0;0,913203;0;1;0;1;0;3
